video_id,cvt_per_day,weighted_categorical_position,weighted_horizontal_poition,import_id,release_year,genres,imdb_votes,budget,boxoffice,imdb_rating,duration_in_mins,metacritic_score,awards,mpaa,star_category
337825,61551.58901,3,8,other,2013,"Comedy,Drama",7819,1500000,8551228,5.800000191,97.82008888,50,other award,R,1.666666667
308307,61039.88122,3,15,lionsgate,2010,"Thriller,Drama,Mystery",126451,3000000,1028658,7,95.38138333,65,other award,R,1.666666667
380515,59799.34256,3,8,lionsgate,2015,Thriller,49890,50000000,1206135,6.5,137.18165,41,other award,R,2.319047619
307561,59565.06992,4,9,paramount,1995,"Comedy,Kids & Family,Drama",16000,1500000,8551228,5.800000191,100.8972833,45,other award,PG,1.666666667
289781,59232.33807,3,9,lionsgate,2009,"Drama,Horror,Mystery",31932,4500000,108229,5.900000095,102.8216333,36,other award,R,3
316461,58040.73778,2,9,lionsgate,2005,"Thriller,Independent,Crime,Drama,Horror,Mystery",136335,950000,1007962,7.099999905,104.09305,58,other award,R,1.666666667
380523,56722.04675,3,16,lionsgate,2014,Drama,4204,1500000,8551228,6.5,101.4732667,47,Golden Globe,R,2.058333333
329421,55796.21071,5,11,lionsgate,2006,Drama,15813,1500000,8551228,7.5,112.9331333,72,other award,PG,2.375
376162,55761.5469,3,10,lionsgate,2013,Comedy,13062,1500000,8551228,5.800000191,103.2109167,38,no award,PG-13,1.459375
304788,55360.5923,3,13,lionsgate,2013,"Horror,Thriller",36735,20000000,34334256,4.800000191,91.95,57,other award,R,1.522222222
322949,55239.3249,3,13,paramount,2008,"Comedy,Drama,Fantasy",62236,20000000,13214030,6.699999809,102.27115,72,other award,PG-13,2.066666667
310138,51740.51899,2,11,mgm,2003,"Horror,Thriller",48153,17000000,35143332,5.599999905,104.09035,36,other award,R,1.5
306801,51211.22141,5,7,paramount,1992,"Animation,Comedy,Musicals,Fantasy",3301,0,0,5.5,72.67266667,0,other award,PG-13,1.333333333
307868,48094.59658,2,9,paramount,2010,"Comedy,Drama,Crime",33485,22000000,723714,6.599999905,112.1188333,60,no award,R,2.466666667
312196,46828.18602,4,17,mgm,1995,Drama,52929,45000000,20302961,4.599999905,131.37475,16,other award,NC-17,2.266666667
389503,46442.38928,3,13,mgm,1986,Action,196512,13000000,53424681,7.5,102.7451667,67,Oscar,R,1.908333333
307753,46247.17884,4,11,lionsgate,1989,"Action,Sport",40028,1500000,14697005,6.400000095,97.51783333,33,no award,R,1.666666667
352450,45647.08668,3,16,lionsgate,2007,"Action,Thriller,Crime",46445,1500000,8551228,6.099999905,113.6174174,23,other award,R,1.383333333
376182,45602.72058,2,9,lionsgate,2011,"Comedy,Drama,Romance",37557,10000000,7250054,6.199999809,107.2760833,55,other award,R,1.98125
361895,45484.84338,2,4,other,2014,"Drama,Thriller,Crime",50383,1066167,258113,7.099999905,90.40081748,77,other award,R,1
334160,44667.66324,5,10,mgm,1991,"Crime,Drama,Thriller",948630,19000000,130727000,8.600000381,118.56035,84,Oscar,R,2.779166667
299584,43944.17333,3,9,lionsgate,2011,"Drama,Thriller",55831,15000000,1357042,7.099999905,108.5294167,52,other award,R,1.6
356373,43730.26006,2,15,lionsgate,2009,"Comedy,Horror",10352,1500000,8551228,3.599999905,90.41323958,57,other award,R,1.65
332931,43710.92989,3,16,lionsgate,2007,"Comedy,Action,Adventure",9699,1500000,8551228,3.5,89.43048333,17,no award,PG-13,1.378125
302240,43388.24524,3,10,mgm,2005,Comedy,5496,1500000,8551228,4.800000191,91.78325,57,no award,R,1.444444444
289849,43366.19813,2,12,lionsgate,2010,"Drama,Comedy,Romance",13794,15000000,4360548,6.400000095,89.97895,69,other award,R,2.925
321861,43264.84252,6,12,lionsgate,2010,"Kids & Family,Comedy,Adventure",5969,1500000,8551228,2.200000048,82.80163333,57,other award,NotRated,1.428571429
322959,43253.06215,4,12,paramount,2009,"Thriller,Horror,Drama,Mystery",64267,1500000,8551228,6.400000095,87.23383333,43,other award,PG-13,2.2125
369865,42260.85071,2,17,lionsgate,2015,"Action,Comedy",15303,11000000,8551228,5.599999905,94.09336667,45,other award,PG-13,1.375
369861,41971.58938,2,13,lionsgate,2014,"Action,Thriller",14331,18000000,8551228,4.599999905,90.61155,19,other award,R,1.85
304771,41678.88084,3,9,lionsgate,2012,Horror,7029,25000000,8551228,4.300000191,113.8,23,no award,PG-13,2.077777778
312424,41633.09692,3,7,mgm,1998,"Action,Adventure,Crime,Thriller",149835,55000000,41609593,7.300000191,121.5751,67,other award,R,1.666666667
348089,40284.98208,3,8,lionsgate,2013,"Action,Adventure,Drama",62588,9000000,6262942,6.900000095,105.6653876,87,Oscar,PG-13,3.566666667
389506,40222.50387,3,15,mgm,1989,Action,68816,35000000,45681173,5.800000191,116.6841,57,other award,R,2.075
376042,40022.94494,7,15,lionsgate,1988,Kids & Family,8706,1500000,8551228,6.099999905,101.5579833,57,other award,PG,1.222222222
316454,39257.40112,4,17,lionsgate,2002,"Drama,Comedy,Romance",70609,4000000,4046737,7.099999905,111.1299333,63,Golden Globe,R,2.833333334
299596,38348.27636,4,12,lionsgate,2007,Horror,73890,10000000,17544812,5.5,94.19151667,46,other award,R,1.525
343310,38331.78245,3,11,lionsgate,1993,"Comedy,Horror,Fantasy",18153,900000,8556940,4.699999809,91.44213658,57,no award,R,1.19375
369867,37665.33359,2,7,lionsgate,2014,Comedy,14034,3500000,8551228,6.900000095,95.09865,54,other award,PG-13,1.301960784
292823,36871.47812,2,9,lionsgate,2009,"Thriller,Horror,Mystery",12042,15000000,8551228,5.300000191,107.92155,57,other award,PG-13,1.5
316468,36631.092,3,20,lionsgate,2006,"Comedy,Romance",9174,4000000,15655665,3.099999905,90.24518333,21,other award,PG-13,1.666666667
356377,36367.12588,2,5,lionsgate,2009,"Horror,Thriller",5085,10000000,8551228,4.800000191,91.4698507,57,no award,R,1.9
389845,36079.422,3,10,mgm,2001,Action,23016,70000000,18990798,3,97.80635,14,other award,PG-13,1.7875
348946,35525.16524,3,11,lionsgate,2013,"Comedy,Drama",21391,1500000,8551228,6.400000095,112.6786509,54,other award,R,1.6
